Model,CV_Accuracy,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC
Logistic Regression,0.8336567937882329,0.8611875,0.7583203037748493,0.7487869430966034,0.7535234713128398,0.89221455720605
Random Forest,0.8412665163148857,0.8471875,0.7292078121571209,0.7329069254521394,0.7310526894731053,0.8701342304987777
XGBoost,0.8423130713197574,0.856875,0.7396411789833405,0.7637847375385972,0.7515190972222222,0.8949578281766826
SVM,0.8326756071334881,0.8624375,0.7646925346040391,0.7432730480811646,0.753830667710547,0.8697081611647747
